"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","handleUserEvent_ShouldUpdateSnapshot_WhenUserCreatedButUserAlreadyExists()","","Mon Jul 28 07:10:28 GMT 2025","passed","Mon Jul 28 07:10:28 GMT 2025","","com.talentradar.assessment_service.service.UserEventConsumerTest","com.talentradar.assessment_service.service.UserEventConsumerTest","handleUserEvent_ShouldUpdateSnapshot_WhenUserCreatedButUserAlreadyExists"
"","6","publishAssessmentUpdated_ShouldHandleError_WhenUserSnapshotNotFound()","","Mon Jul 28 07:10:29 GMT 2025","passed","Mon Jul 28 07:10:29 GMT 2025","","com.talentradar.assessment_service.service.AssessmentEventProducerTest","com.talentradar.assessment_service.service.AssessmentEventProducerTest","publishAssessmentUpdated_ShouldHandleError_WhenUserSnapshotNotFound"
"","2456","Should create feedback comment successfully","","Mon Jul 28 07:10:23 GMT 2025","passed","Mon Jul 28 07:10:26 GMT 2025","","FeedbackCommentService Tests","com.talentradar.assessment_service.service.FeedbackCommentServiceImplTest","createFeedbackComment_ShouldCreateFeedbackComment_WhenValidDto"
"","2","Should return empty list when no dimensions exist","","Mon Jul 28 07:10:29 GMT 2025","passed","Mon Jul 28 07:10:29 GMT 2025","","DimensionDefinitionService Tests","com.talentradar.assessment_service.service.DimensionDefinitionServiceImplTest","getAllDimensions_ShouldReturnEmptyList_WhenNoDimensionsExist"
"","8","Should handle large number of dimensions efficiently","","Mon Jul 28 07:10:26 GMT 2025","passed","Mon Jul 28 07:10:26 GMT 2025","","FeedbackAnalysisService Tests","com.talentradar.assessment_service.service.FeedbackAnalysisServiceTest","createAnalysisDto_ShouldHandleLargeDimensionSet_Efficiently"
"","7","Should handle dimension definition with null grading criteria","","Mon Jul 28 07:10:26 GMT 2025","passed","Mon Jul 28 07:10:26 GMT 2025","","FeedbackDimensionService Tests","com.talentradar.assessment_service.service.FeedbackDimensionServiceImplTest","createFeedbackDimension_ShouldHandleNullGradingCriteria_Gracefully"
"","3","Should not update when comment title is null","","Mon Jul 28 07:10:27 GMT 2025","passed","Mon Jul 28 07:10:27 GMT 2025","","CommentService Tests","com.talentradar.assessment_service.service.CommentServiceImplTest","updateComment_ShouldNotUpdate_WhenCommentTitleIsNull"
"","4","Should return true when comment exists","","Mon Jul 28 07:10:27 GMT 2025","passed","Mon Jul 28 07:10:27 GMT 2025","","CommentService Tests","com.talentradar.assessment_service.service.CommentServiceImplTest","commentExists_ShouldReturnTrue_WhenIdExists"
"","5","handleUserEvent_ShouldNackMessage_WhenRepositoryThrowsException()","","Mon Jul 28 07:10:28 GMT 2025","passed","Mon Jul 28 07:10:28 GMT 2025","","com.talentradar.assessment_service.service.UserEventConsumerTest","com.talentradar.assessment_service.service.UserEventConsumerTest","handleUserEvent_ShouldNackMessage_WhenRepositoryThrowsException"
"","2","Should return comments by IDs successfully","","Mon Jul 28 07:10:27 GMT 2025","passed","Mon Jul 28 07:10:27 GMT 2025","","CommentService Tests","com.talentradar.assessment_service.service.CommentServiceImplTest","getCommentsByIds_ShouldReturnComments_WhenIdsExist"
"","8","shouldThrowBadRequestIfUserSubmittedWithin30Days()","","Mon Jul 28 07:10:27 GMT 2025","passed","Mon Jul 28 07:10:27 GMT 2025","","com.talentradar.assessment_service.service.AssessmentServiceImplTest","com.talentradar.assessment_service.service.AssessmentServiceImplTest","shouldThrowBadRequestIfUserSubmittedWithin30Days"
"","119","Should get user by ID successfully","","Mon Jul 28 07:10:26 GMT 2025","passed","Mon Jul 28 07:10:27 GMT 2025","","UserSnapshotService Tests","com.talentradar.assessment_service.service.UserSnapshotServiceImplTest","getUserById_ShouldReturnUser_WhenUserExists"
"","3","Should throw exception when dimension not found by ID","","Mon Jul 28 07:10:29 GMT 2025","passed","Mon Jul 28 07:10:29 GMT 2025","","DimensionDefinitionService Tests","com.talentradar.assessment_service.service.DimensionDefinitionServiceImplTest","getDimensionById_ShouldThrowException_WhenIdNotExists"
"","3","Should throw exception when updating non-existent comment","","Mon Jul 28 07:10:27 GMT 2025","passed","Mon Jul 28 07:10:27 GMT 2025","","CommentService Tests","com.talentradar.assessment_service.service.CommentServiceImplTest","updateComment_ShouldThrowException_WhenIdNotExists"
"","11","Should handle repository save failure gracefully","","Mon Jul 28 07:10:26 GMT 2025","passed","Mon Jul 28 07:10:26 GMT 2025","","FeedbackDimensionService Tests","com.talentradar.assessment_service.service.FeedbackDimensionServiceImplTest","createFeedbackDimension_ShouldHandleRepositoryFailure_Gracefully"
